triangle_id,point_1_x,point_1_y,point_1_z,point_2_x,point_2_y,point_2_z,point_3_x,point_3_y,point_3_z
195,568,204,-4.726621967578122,572,204,-4.693085230729647,572,200,-4.739166009285239
196,548,196,-4.819124571178776,552,200,-4.797884580988302,552,196,-4.822557943270894
197,576,160,-4.616469478925569,572,160,-4.60643005299237,576,164,-4.695888609043875
198,588,180,-4.6274700388448124,588,176,-4.652363496177355,584,176,-4.724685772012608
199,572,204,-4.693085230729647,576,204,-4.644465501118315,576,200,-4.6919945510835115
200,548,168,-4.616027485285155,544,172,-4.6972587072077365,548,172,-4.70819030950404
201,580,164,-4.691630262681428,576,160,-4.616469478925569,576,164,-4.695888609043875
202,552,200,-4.797884580988302,556,204,-4.763341543259722,556,200,-4.801136940977826
203,560,160,-4.523102277079113,556,160,-4.488625951288505,556,164,-4.57772019065217
204,584,196,-4.591958157433502,588,192,-4.539112393888816,584,192,-4.627760382796565
205,588,176,-4.652363496177355,588,172,-4.6763856322227095,584,172,-4.742052537566328
206,544,188,-4.839156089193576,544,192,-4.833340124440936,548,192,-4.832903970351416
207,580,204,-4.580224136932037,584,200,-4.550069413174425,580,200,-4.628464527078909
208,580,200,-4.628464527078909,584,200,-4.550069413174425,584,196,-4.591958157433502
209,584,196,-4.591958157433502,588,196,-4.500674650783178,588,192,-4.539112393888816
210,588,168,-4.700112184549408,584,164,-4.677533950100501,584,168,-4.7466080626710445
211,584,168,-4.7466080626710445,584,164,-4.677533950100501,580,164,-4.691630262681428
212,580,164,-4.691630262681428,580,160,-4.61668480807827,576,160,-4.616469478925569
213,544,196,-4.819705997403525,548,200,-4.795490107940562,548,196,-4.819124571178776
214,548,196,-4.819124571178776,548,200,-4.795490107940562,552,200,-4.797884580988302
215,552,200,-4.797884580988302,552,204,-4.7620504114538,556,204,-4.763341543259722
216,552,160,-4.458520572043916,548,164,-4.526112117538548,552,164,-4.547964287742081
217,552,164,-4.547964287742081,548,164,-4.526112117538548,548,168,-4.616027485285155
218,548,168,-4.616027485285155,544,168,-4.6054415900894,544,172,-4.6972587072077365
219,556,160,-4.488625951288505,552,160,-4.458520572043916,552,164,-4.547964287742081
220,560,204,-4.759266763827299,564,208,-4.695186446701344,564,204,-4.747403122274539
221,564,204,-4.747403122274539,564,208,-4.695186446701344,568,204,-4.726621967578122
222,568,204,-4.726621967578122,568,208,-4.671836016956487,572,204,-4.693085230729647
223,572,204,-4.693085230729647,572,208,-4.63677315674337,576,204,-4.644465501118315
224,560,208,-4.709645707831952,564,208,-4.695186446701344,560,204,-4.759266763827299
225,572,160,-4.60643005299237,568,156,-4.497331071490494,568,160,-4.586027062692764
226,568,160,-4.586027062692764,568,156,-4.497331071490494,564,160,-4.557148049591272
227,564,160,-4.557148049591272,564,156,-4.466635786257945,560,160,-4.523102277079113
228,560,160,-4.523102277079113,560,156,-4.431402236550558,556,160,-4.488625951288505
229,556,160,-4.488625951288505,556,156,-4.396170635994999,552,160,-4.458520572043916
230,572,156,-4.520335958305571,568,156,-4.497331071490494,572,160,-4.60643005299237
231,544,192,-4.833340124440936,544,196,-4.819705997403525,548,196,-4.819124571178776
232,548,200,-4.795490107940562,552,204,-4.7620504114538,552,200,-4.797884580988302
233,556,204,-4.763341543259722,560,208,-4.709645707831952,560,204,-4.759266763827299
234,584,200,-4.550069413174425,588,196,-4.500674650783178,584,196,-4.591958157433502
235,588,188,-4.572210836713966,592,184,-4.504575220209255,588,184,-4.60101094860476
236,588,184,-4.60101094860476,592,184,-4.504575220209255,588,180,-4.6274700388448124
237,588,180,-4.6274700388448124,592,180,-4.537650956673592,588,176,-4.652363496177355
238,588,176,-4.652363496177355,592,176,-4.569729341416193,588,172,-4.6763856322227095
239,592,188,-4.470146333500008,592,184,-4.504575220209255,588,188,-4.572210836713966
240,592,188,-4.470146333500008,588,188,-4.572210836713966,588,192,-4.539112393888816
241,592,172,-4.60138853315217,588,168,-4.700112184549408,588,172,-4.6763856322227095
242,588,172,-4.6763856322227095,588,168,-4.700112184549408,584,168,-4.7466080626710445
243,568,156,-4.497331071490494,564,156,-4.466635786257945,564,160,-4.557148049591272
244,564,208,-4.695186446701344,568,208,-4.671836016956487,568,204,-4.726621967578122
245,576,208,-4.587589840685318,580,204,-4.580224136932037,576,204,-4.644465501118315
246,576,204,-4.644465501118315,580,204,-4.580224136932037,580,200,-4.628464527078909
247,544,180,-4.8364886490624315,540,184,-4.848900352244629,544,184,-4.839417238612316
248,544,184,-4.839417238612316,540,184,-4.848900352244629,544,188,-4.839156089193576
249,544,188,-4.839156089193576,540,188,-4.847903938819769,544,192,-4.833340124440936
250,544,192,-4.833340124440936,540,192,-4.841338368188536,544,196,-4.819705997403525
251,540,180,-4.846748275106064,540,184,-4.848900352244629,544,180,-4.8364886490624315
252,540,180,-4.846748275106064,544,180,-4.8364886490624315,544,176,-4.791331432738847
253,592,184,-4.504575220209255,592,180,-4.537650956673592,588,180,-4.6274700388448124
254,540,176,-4.7915421696399605,540,180,-4.846748275106064,544,176,-4.791331432738847
255,584,164,-4.677533950100501,580,160,-4.61668480807827,580,164,-4.691630262681428
256,576,160,-4.616469478925569,572,156,-4.520335958305571,572,160,-4.60643005299237
257,548,164,-4.526112117538548,544,168,-4.6054415900894,548,168,-4.616027485285155
258,544,172,-4.6972587072077365,540,176,-4.7915421696399605,544,176,-4.791331432738847
259,576,156,-4.533878605485088,572,156,-4.520335958305571,576,160,-4.616469478925569
260,592,192,-4.434002053397481,592,188,-4.470146333500008,588,192,-4.539112393888816
261,556,208,-4.713897757810611,560,208,-4.709645707831952,556,204,-4.763341543259722
262,540,184,-4.848900352244629,540,188,-4.847903938819769,544,188,-4.839156089193576
263,564,156,-4.466635786257945,560,156,-4.431402236550558,560,160,-4.523102277079113
264,592,180,-4.537650956673592,592,176,-4.569729341416193,588,176,-4.652363496177355
265,568,208,-4.671836016956487,572,208,-4.63677315674337,572,204,-4.693085230729647
266,540,172,-4.698425971053864,540,176,-4.7915421696399605,544,172,-4.6972587072077365
267,588,196,-4.500674650783178,592,192,-4.434002053397481,588,192,-4.539112393888816
268,572,208,-4.63677315674337,576,208,-4.587589840685318,576,204,-4.644465501118315
269,560,156,-4.431402236550558,556,156,-4.396170635994999,556,160,-4.488625951288505
270,544,168,-4.6054415900894,540,172,-4.698425971053864,544,172,-4.6972587072077365
271,540,188,-4.847903938819769,540,192,-4.841338368188536,544,192,-4.833340124440936
